Id,Naziv opstine,Naziv latinica,nadmorska visina,referentno mesto,nadmorska ref,HDD,okrug/oblast,okrug latinica
1,Ада,Ada,80,Кикинда,78,2644.2,Севернобанатски,Severnobanatski
2,Александровац,Aleksandrovac,370,Крушевац,163,2588.6,Расински,Rasinski
3,Алексинац,Aleksinac,168,Ниш,195,2476.7,Нишавски,Nisavski
4,Алибунар,Alibunar,71,Банатски Карловац,89,2596.4,Јужнобанатски,Juznobanatski
5,Апатин,Apatin,82,Сомбор,90,2686.2,Западнобачки,Zapadnobacki
6,Аранђеловац,Arandjelovac,257,Смедеревска Паланка,125,2554.6,Шумадијски,Sumadijski
7,Ариље,Arilje,350,Пожега,315,3062,Златиборски,Zlatiborski
8,Бабушница,Babusnica,470,Пирот,367,2613.1,Пиротски,Pirotski
9,Бајина Башта,Bajina Basta,257,Љубовија,174,2627.9,Златиборски,Zlatiborski
10,Барајево,Barajevo,260,Београд,117,2299,Београдски,Beogradski
11,Баточина,Batocina,111,Крагујевац,173,2530.9,Шумадијски,Sumadijski
12,Бач,Bac,83,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
13,Бачка Топола,Backa Topola,102,Сомбор,90,2686.2,Севернобачки,Severnobacki
14,Бачки Петровац,Backi Petrovac,86,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
15,Бела Паланка,Bela Palanka,394,Пирот,367,2613.1,Пиротски,Pirotski
16,Бела Црква,Bela Crkva,78,Вршац,93,2521,Јужнобанатски,Juznobanatski
17,Беочин,Beocin,88,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
18,Бечеј,Beceji,82,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
19,Блаце,Blace,389,Куршумлија,366,2823.3,Топлички,Toplicki
20,Богатић,Bogatic,81,Сремска Митровица,82,2628.9,Мачвански,Macvanski
21,Бојник,Bojnik,242,Лесковац,228,2681.2,Јабланички,Jablanicki
22,Бољевац,Bojlevac,263,Зајечар,134,2792.3,Зајечарски,Zajecarski
23,Бор,Bor,381,Зајечар,134,2792.3,Борски,Borski
24,Босилеград,Bosilegrad,696,Врање,487,2662.9,Пчињски,Pcinjski
25,Брус,Brus,436,Јошаничка Бања,555,3008.5,Расински,Rasinski
26,Бујановац,Bujanovac,384,Врање,487,2662.9,Пчињски,Pcinjski
27,Ваљево,Valjevo,199,Ваљево,199,2557.6,Колубарски,Kolubarski
28,Варварин,Varvarin,145,Крагујевац,173,2530.9,Расински,Rasinski
29,Велика Плана,Velika Plana,123,Смедеревска Паланка,125,2554.6,Подунавски,Podunavski
30,Велико Градиште,Veliko Gradiste,72,Велико Градиште,72,2629.5,Браничевски,Branicevski
31,Владимирци,Vladimirci,103,Лозница,121,2478.7,Мачвански,Macvanski
32,Владичин Хан,Vladicin Han,386,Врање,487,2662.9,Пчињски,Pcinjski
33,Власотинце,Vlasotince,234,Лесковац,228,2681.2,Јабланички,Jablanicki
34,Вождовац,Vozdovac,250,Београд,117,2299,Београдски,Beogradski
35,Врање,Vranje,487,Врање,487,2662.9,Пчињски,Pcinjski
36,Врачар,Vracar,142,Београд,117,2299,Београдски,Beogradski
37,Врбас,Vrbas,85,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
38,Врњачка Бања,Vrnjacka Banja,217,Краљево,192,2579.4,Рашки,Raski
39,Вршац,Vrsac,93,Вршац,93,2521,Јужнобанатски,Juznobanatski
40,Гњилане,Gnjilane,508,Врање,432,2662.9,Пчињски,Pcinjski
41,Голубац,Golubac,72,Велико Градиште,72,2629.5,Браничевски,Branicevski
42,Горњи Милановац,Gornji Milanovac,310,Пожега,315,3062,Моравички,Moravicki
43,Гроцка,Grocka,71,Београд,117,2299,Београдски,Beogradski
44,Деспотовац,Despotovac,189,Ћуприја,124,2666.2,Поморавски,Pomoravski
45,Димитровград,Dimitrovgrad,463,Димитровград,463,2957.7,Пиротски,Pirotski
46,Жабаљ,Zabalj,72,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
47,Жабари,Zabari,186,Смедеревска Паланка,125,2554.6,Браничевски,Branicevski
48,Жагубица,Zagubica,314,Црни Врх,1033,4049,Браничевски,Branicevski
49,Житиште,Zitiste,78,Зрењанин,76,2589.7,Средњeбанатски,Srednjebanatski
50,Житорађа,Zitoradja,221,Ниш,195,2476.7,Топлички,Toplicki
51,Зајечар,Zajecar,134,Зајечар,134,2792.3,Зајечарски,Zajecarski
52,Звездара,Zvezdara,270,Београд,117,2299,Београдски,Beogradski
53,Земун,Zemun,82,Београд,117,2299,Београдски,Beogradski
54,Зрењанин,Zrenjanin,76,Зрењанин,76,2589.7,Средњeбанатски,Srednjebanatski
55,Ивањица,Ivanjica,468,Краљево,192,2579.4,Моравички,Moravicki
56,Инђија,Indija,116,Нови Сад,80,2604.2,Сремски,Sremski
57,Ириг,Irig,190,Сремска Митровица,82,2628.9,Сремски,Sremski
58,Кањижа,Kanjiza,80,Палић,102,2779.2,Севернобанатски,Severnobanatski
59,Кикинда,Kikinda,78,Кикинда,78,2644.2,Севернобанатски,Severnobanatski
60,Кладово,Kladovo,45,Неготин,46,2567.9,Борски,Borski
61,Кнић,Knic,320,Крагујевац,173,2530.9,Шумадијски,Sumadijski
62,Књажевац,Knjazevac,221,Зајечар,134,2792.3,Зајечарски,Zajecarski
63,Ковачица,Kovacica,78,Банатски Карловац,89,2596.4,Јужнобанатски,Juznobanatski
64,Ковин,Kovin,68,Банатски Карловац,89,2596.4,Јужнобанатски,Juznobanatski
65,Косјерић,Kosjeric,415,Пожега,315,3062,Златиборски,Zlatiborski
66,Косовска Митровица,Kosovska Mitrovica,500,Куршумлија,380,2823.3,Топлички,Toplicki
67,Коцељева,Kocejeva,126,Ваљево,199,2557.6,Мачвански,Macvanski
68,Крагујевац,Kragujevac,173,Крагујевац,173,2530.9,Шумадијски,Sumadijski
69,Краљево,Kraljevo,192,Краљево,192,2579.4,Рашки,Raski
70,Крупањ,Krupanj,299,Крупањ,280,2956.4,Мачвански,Macvanski
71,Крушевац,Krusevac,163,Крушевац,163,2588.6,Расински,Rasinski
72,Кула,Kula,88,Сомбор,90,2686.2,Западнобачки,Zapadnobacki
73,Куршумлија,Kursumlija,366,Куршумлија,366,2823.3,Топлички,Toplicki
74,Кучево,Kucevo,162,Велико Градиште,72,2629.5,Браничевски,Branicevski
75,Лазаревац,Lazarevac,161,Београд,117,2299,Београдски,Beogradski
76,Лајковац,Lajkovac,113,Ваљево,199,2557.6,Колубарски,Kolubarski
77,Лапово,Lapovo,105,Смедеревска Паланка,125,2554.6,Шумадијски,Sumadijski
78,Лебане,Lebane,275,Лесковац,228,2681.2,Јабланички,Jablanicki
79,Лесковац,Leskovac,228,Лесковац,228,2681.2,Јабланички,Jablanicki
80,Лозница,Loznica,121,Лозница,121,2478.7,Мачвански,Macvanski
81,Лучани,Lucani,308,Пожега,315,3062,Моравички,Moravicki
82,Љубовија,Ljubovija,174,Љубовија,174,2627.9,Мачвански,Macvanski
83,Мајданпек,Majdanpek,362,Неготин,46,2567.9,Борски,Borski
84,Мали Зворник,Mali Zvornik,149,Лозница,121,2478.7,Мачвански,Macvanski
85,Мали Иђош,Mali Idos,88,Палић,102,2779.2,Севернобачки,Severnobacki
86,Мало Црниће,Malo Crnice,87,Велико Градиште,72,2629.5,Браничевски,Branicevski
87,Медвеђа,Medveda,440,Куршумлија,380,2823.3,Јабланички,Jablanicki
88,Мерошина,Merosina,244,Ниш,195,2476.7,Нишавски,Nisavski
89,Мионица,Miionica,189,Ваљево,199,2557.6,Колубарски,Kolubarski
90,Младеновац,Mladenovac,138,Смедеревска Паланка,125,2554.6,Београдски,Beogradski
91,Неготин,Negotin,46,Неготин,46,2567.9,Борски,Borski
92,Ниш,Nis,195,Ниш,195,2476.7,Нишавски,Nisavski
93,Нова Варош,Nova Varos,1111,Сјеница,1038,3956,Златиборски,Zlatiborski
94,Нова Црња,Nova Crnja,77,Кикинда,78,2644.2,Средњeбанатски,Srednjebanatski
95,Нови Београд,Novi Beograd,76,Београд,117,2299,Београдски,Beogradski
96,Нови Бечеј,Novi Becej,76,Кикинда,78,2644.2,Средњeбанатски,Srednjebanatski
97,Нови Кнежевац,Novi Knezevac,84,Кикинда,78,2644.2,Севернобанатски,Severnobanatski
98,Нови Пазар,Novi Pazar,477,Јошаничка Бања,555,3008.5,Рашки,Raski
99,Нови Сад,Novi Sad,80,Нови Сад,80,2604.2,Јужнобачки,Juznobacki
100,Обреновац,Obrenovac,76,Сурчин,96,2482.5,Београдски,Beogradski
101,Опово,Opovo,67,Зрењанин,76,2589.7,Јужнобанатски,Juznobanatski
102,Оџаци,Odzaci,87,Сомбор,90,2686.2,Западнобачки,Zapadnobacki
103,Палилула,Palilula,256,Београд,117,2299,Београдски,Beogradski
104,Панчево,Pancevo,77,Банатски Карловац,89,2596.4,Јужнобанатски,Juznobanatski
105,Параћин,Paracin,132,Ћуприја,124,2666.2,Поморавски,Pomoravski
