fuel_type_cyrillic,heating_type_cyrillic,fuel_efficency,pipe_system_efficency,regulation_efficency
дрво,централно грејање,0.68,0.95,0.92
угаљ,централно грејање,0.68,0.95,0.92
течно гориво,централно грејање,0.72,0.95,0.92
електрична енергија,централно грејање,0.95,0.95,0.92
гас,централно грејање,0.8,0.95,0.92
пелет,централно грејање,0.78,0.95,0.92
топлотна пумпа,централно грејање,2.5,0.95,0.92
даљинско грејање,централно грејање,0.98,0.95,0.92
дрво,етажно грејање,0.68,0.95,0.92
угаљ,етажно грејање,0.68,0.95,0.92
течно гориво,етажно грејање,0.72,0.95,0.92
електрична енергија,етажно грејање,0.95,0.95,0.92
гас,етажно грејање,0.8,0.95,0.92
пелет,етажно грејање,0.78,0.95,0.92
топлотна пумпа,етажно грејање,2.5,0.95,0.92
даљинско грејање,етажно грејање,0.98,0.95,0.92
дрво,локално грејање,0.5,1,0.9
угаљ,локално грејање,0.5,1,0.9
течно гориво,локално грејање,0.63,1,0.9
електрична енергија,локално грејање,0.95,1,0.95
гас,локално грејање,0.68,1,0.95
пелет,локално грејање,0.78,1,0.95
топлотна пумпа,локално грејање,2.5,1,0.95
даљинско грејање,локално грејање,0.98,0.95,0.92
