name_latin,name_cyrillic,elevation,reference_place_cyrillic,HDD,district_latin,district_cyrillic
Ada,Ада,80,Кикинда,2644.2,Severnobanatski,Севернобанатски
Aleksandrovac,Александровац,370,Крушевац,2588.6,Rasinski,Расински
Aleksinac,Алексинац,168,Ниш,2476.7,Nisavski,Нишавски
Alibunar,Алибунар,71,Банатски Карловац,2596.4,Juznobanatski,Јужнобанатски
Apatin,Апатин,82,Сомбор,2686.2,Zapadnobacki,Западнобачки
Arandjelovac,Аранђеловац,257,Смедеревска Паланка,2554.6,Sumadijski,Шумадијски
Arilje,Ариље,350,Пожега,3062,Zlatiborski,Златиборски
Babusnica,Бабушница,470,Пирот,2613.1,Pirotski,Пиротски
Bajina Basta,Бајина Башта,257,Љубовија,2627.9,Zlatiborski,Златиборски
Barajevo,Барајево,260,Београд,2299,Beogradski,Београдски
Batocina,Баточина,111,Крагујевац,2530.9,Sumadijski,Шумадијски
Bac,Бач,83,Нови Сад,2604.2,Juznobacki,Јужнобачки
Backa Topola,Бачка Топола,102,Сомбор,2686.2,Severnobacki,Севернобачки
Backi Petrovac,Бачки Петровац,86,Нови Сад,2604.2,Juznobacki,Јужнобачки
Bela Palanka,Бела Паланка,394,Пирот,2613.1,Pirotski,Пиротски
Bela Crkva,Бела Црква,78,Вршац,2521,Juznobanatski,Јужнобанатски
Beocin,Беочин,88,Нови Сад,2604.2,Juznobacki,Јужнобачки
Beceji,Бечеј,82,Нови Сад,2604.2,Juznobacki,Јужнобачки
Blace,Блаце,389,Куршумлија,2823.3,Toplicki,Топлички
Bogatic,Богатић,81,Сремска Митровица,2628.9,Macvanski,Мачвански
Bojnik,Бојник,242,Лесковац,2681.2,Jablanicki,Јабланички
Bojlevac,Бољевац,263,Зајечар,2792.3,Zajecarski,Зајечарски
Bor,Бор,381,Зајечар,2792.3,Borski,Борски
Bosilegrad,Босилеград,696,Врање,2662.9,Pcinjski,Пчињски
Brus,Брус,436,Јошаничка Бања,3008.5,Rasinski,Расински
Bujanovac,Бујановац,384,Врање,2662.9,Pcinjski,Пчињски
Valjevo,Ваљево,199,Ваљево,2557.6,Kolubarski,Колубарски
Varvarin,Варварин,145,Крагујевац,2530.9,Rasinski,Расински
Velika Plana,Велика Плана,123,Смедеревска Паланка,2554.6,Podunavski,Подунавски
Veliko Gradiste,Велико Градиште,72,Велико Градиште,2629.5,Branicevski,Браничевски
Vladimirci,Владимирци,103,Лозница,2478.7,Macvanski,Мачвански
Vladicin Han,Владичин Хан,386,Врање,2662.9,Pcinjski,Пчињски
Vlasotince,Власотинце,234,Лесковац,2681.2,Jablanicki,Јабланички
Vozdovac,Вождовац,250,Београд,2299,Beogradski,Београдски
Vranje,Врање,487,Врање,2662.9,Pcinjski,Пчињски
Vracar,Врачар,142,Београд,2299,Beogradski,Београдски
Vrbas,Врбас,85,Нови Сад,2604.2,Juznobacki,Јужнобачки
Vrnjacka Banja,Врњачка Бања,217,Краљево,2579.4,Raski,Рашки
Vrsac,Вршац,93,Вршац,2521,Juznobanatski,Јужнобанатски
Gnjilane,Гњилане,508,Врање,2662.9,Pcinjski,Пчињски
Golubac,Голубац,72,Велико Градиште,2629.5,Branicevski,Браничевски
Gornji Milanovac,Горњи Милановац,310,Пожега,3062,Moravicki,Моравички
Grocka,Гроцка,71,Београд,2299,Beogradski,Београдски
Despotovac,Деспотовац,189,Ћуприја,2666.2,Pomoravski,Поморавски
Dimitrovgrad,Димитровград,463,Димитровград,2957.7,Pirotski,Пиротски
Zabalj,Жабаљ,72,Нови Сад,2604.2,Juznobacki,Јужнобачки
Zabari,Жабари,186,Смедеревска Паланка,2554.6,Branicevski,Браничевски
Zagubica,Жагубица,314,Црни Врх,4049,Branicevski,Браничевски
Zitiste,Житиште,78,Зрењанин,2589.7,Srednjebanatski,Средњeбанатски
Zitoradja,Житорађа,221,Ниш,2476.7,Toplicki,Топлички
Zajecar,Зајечар,134,Зајечар,2792.3,Zajecarski,Зајечарски
Zvezdara,Звездара,270,Београд,2299,Beogradski,Београдски
Zemun,Земун,82,Београд,2299,Beogradski,Београдски
Zrenjanin,Зрењанин,76,Зрењанин,2589.7,Srednjebanatski,Средњeбанатски
Ivanjica,Ивањица,468,Краљево,2579.4,Moravicki,Моравички
Indija,Инђија,116,Нови Сад,2604.2,Sremski,Сремски
Irig,Ириг,190,Сремска Митровица,2628.9,Sremski,Сремски
Kanjiza,Кањижа,80,Палић,2779.2,Severnobanatski,Севернобанатски
Kikinda,Кикинда,78,Кикинда,2644.2,Severnobanatski,Севернобанатски
Kladovo,Кладово,45,Неготин,2567.9,Borski,Борски
Knic,Кнић,320,Крагујевац,2530.9,Sumadijski,Шумадијски
Knjazevac,Књажевац,221,Зајечар,2792.3,Zajecarski,Зајечарски
Kovacica,Ковачица,78,Банатски Карловац,2596.4,Juznobanatski,Јужнобанатски
Kovin,Ковин,68,Банатски Карловац,2596.4,Juznobanatski,Јужнобанатски
Kosjeric,Косјерић,415,Пожега,3062,Zlatiborski,Златиборски
