Id,region naziv,region latinica,proizvodnja krov(MWh/MWp),proizvodnja tlo(MWh/MWp)
1,Западнобачки,Zapadnobacki,1.175,1.412
2,Севернобачки,Severnobacki,1.179,1.417
3,Севернобанатски,Severnobanatski,1.178,1.416
4,Јужнобачки,Juznobacki,1.184,1.423
5,Средњeбанатски,Srednjebanatski,1.185,1.424
6,Сремски,Sremski,1.177,1.413
7,Јужнобанатски,Juznobanatski,1.187,1.426
8,Мачвански,Macvanski,1.169,1.399
9,Београдски,Beogradski,1.186,1.418
10,Колубарски,Kolubarski,1.162,1.416
11,Подунавски,Podunavski,1.178,1.402
12,Браничевски,Branicevski,1.183,1.423
13,Златиборски,Zlatiborski,1.228,1.459
14,Моравички,Moravicki,1.178,1.411
15,Шумадијски,Sumadijski,1.182,1.415
16,Поморавски,Pomoravski,1.187,1.426
17,Борски,Borski,1.227,1.483
18,Рашки,Raski,1.196,1.412
19,Расински,Rasinski,1.188,1.408
20,Нишавски,Nisavski,1.224,1.472
21,Зајечарски,Zajecarski,1.247,1.479
22,Топлички,Toplicki,1.231,1.469
23,Јабланички,Jablanicki,1.22,1.473
24,Пиротски,Pirotski,1.248,1.494
25,Пчињски,Pcinjski,1.268,1.526
